2025-12-16 09:12:00 | ERROR | error | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
2025-12-16 09:12:14 | ERROR | error | 100000
