2025-12-16 14:19:25 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 14:19:25 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 14:19:47 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 14:19:48 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 14:19:48 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 14:28:32 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 14:28:32 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 14:28:32 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 14:30:10 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 14:30:10 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 14:30:10 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:41:51 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:41:51 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:41:51 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:45:38 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:45:38 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:45:38 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:46:22 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:46:22 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:46:22 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:47:13 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:47:13 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:47:13 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:48:55 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:48:55 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:48:55 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:49:11 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:49:11 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:49:11 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:50:02 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:50:02 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:50:02 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:50:54 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:50:54 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:50:54 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:57:48 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:57:48 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:57:48 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:58:19 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:58:19 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:58:19 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:59:22 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:59:22 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:59:22 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:59:39 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:59:39 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:59:39 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 15:59:49 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 15:59:49 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 15:59:49 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:00:53 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:00:53 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:00:53 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:01:11 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:01:11 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:01:11 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:01:26 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:01:26 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:01:26 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:04:01 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:04:01 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:04:01 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:09:13 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:09:13 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:09:13 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:09:40 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:09:40 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:09:40 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:10:46 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:10:46 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:10:46 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:11:45 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:11:45 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:11:45 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:13:16 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:13:16 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:13:16 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:13:52 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:13:52 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:13:52 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:15:33 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:15:33 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:15:33 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:15:53 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:15:53 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:15:53 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:16:49 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:16:49 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:16:49 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:18:05 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":false,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:18:05 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:18:05 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:18:14 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":false,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:18:14 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:18:14 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:18:44 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:18:44 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:18:44 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:19:02 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:19:02 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:19:02 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:19:30 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:19:30 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:19:30 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:19:44 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:19:44 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:19:44 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
2025-12-16 16:19:59 | DEBUG | debug | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 16:20:00 | DEBUG | debug | 拦截路径: [/api/**]
2025-12-16 16:20:00 | DEBUG | debug | 排除路径: [/api/auth/login, /api/auth/login_user, /api/file/file, /api/file/image]
